; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:56:01 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.02100682,0,0,0
0.02100692,0,1,0
0.02100702,0,0,0
0.02100714,0,1,0
0.02100732,0,0,0
0.02100742,0,1,0
0.02100752,0,0,0
0.02100764,0,1,0
0.02100776,0,0,0
0.02100784,0,1,0
0.02100794,0,0,0
0.02100802,0,1,0
0.02100816,0,0,0
0.02100832,0,1,0
0.0210085,0,0,0
0.02100864,0,1,0
0.02100878,0,0,0
0.02100884,0,1,0
0.02100894,0,0,0
0.02100902,0,1,0
0.02100916,0,0,0
0.02100926,0,1,0
0.02100936,0,0,0
0.0210095,0,1,0
0.02100968,0,0,0
0.02100984,0,1,0
0.02101002,0,0,0
0.0210101,0,1,0
0.0210102,0,0,0
0.02101028,0,1,0
0.02101038,0,0,0
0.02101044,0,1,0
0.02101054,0,0,0
0.02101068,0,1,0
0.02101086,0,0,0
0.02101102,0,1,0
0.0210112,0,0,0
0.02101134,0,1,0
0.02101166,0,0,0
0.02101174,0,1,0
0.02101202,0,0,0
0.02101258,1,0,0
0.0210126,1,1,0
0.02101368,1,0,0
0.03490698,1,1,0
0.03490754,1,0,0
0.03490762,1,1,0
0.03490772,1,0,0
0.03490786,1,1,0
0.03490796,1,0,0
0.03490804,1,1,0
0.03490812,1,0,0
0.0349082,1,1,0
0.0349083,1,0,0
0.03490836,1,1,0
0.03490852,1,0,0
0.03490862,1,1,0
0.0349087,1,0,0
0.03490884,1,1,0
0.03490896,1,0,0
0.03490902,1,1,0
0.03490912,1,0,0
0.03490918,1,1,0
0.03490934,1,0,0
0.03490944,1,1,0
0.03490954,1,0,0
0.03490964,0,0,0
0.03490966,0,1,0
0.03490978,0,0,0
0.03490986,0,1,0
0.03490994,0,0,0
0.03491002,0,1,0
0.03491012,0,0,0
0.03491018,0,1,0
0.03491034,0,0,0
0.03491042,0,1,0
0.03491052,0,0,0
0.0349106,0,1,0
0.03491068,0,0,0
0.03491082,0,1,0
0.03491094,0,0,0
0.03491102,0,1,0
0.0349111,0,0,0
0.03491118,0,1,0
0.03491126,0,0,0
0.03491134,0,1,0
0.03491144,0,0,0
0.0349115,0,1,0
0.0349116,0,0,0
0.03491168,0,1,0
0.03491182,0,0,0
0.03491192,0,1,0
0.03491202,0,0,0
0.03491214,0,1,0
0.03491232,0,0,0
0.03491248,0,1,0
0.03491266,0,0,0
0.03491282,0,1,0
0.03491298,0,0,0
0.03491314,0,1,0
0.03491326,0,0,0
0.03491334,0,1,0
0.03491348,0,0,0
0.03491358,0,1,0
0.03491368,0,0,0
0.03491376,0,1,0
0.03491384,0,0,0
0.03491396,0,1,0
0.0349141,0,0,0
0.03491418,0,1,0
0.03491432,0,0,0
0.03491442,0,1,0
0.03491452,0,0,0
0.03491458,0,1,0
0.03491468,0,0,0
0.03491476,0,1,0
0.03491484,0,0,0
0.03491498,0,1,0
0.0349151,0,0,0
0.03491518,0,1,0
0.03491532,0,0,0
0.03491548,0,1,0
0.03491566,0,0,0
0.03491576,0,1,0
0.03491586,0,0,0
0.03491592,0,1,0
0.03491602,0,0,0
0.0349161,0,1,0
0.03491618,0,0,0
0.03491626,0,1,0
0.03491636,0,0,0
0.03491644,0,1,0
0.03491652,0,0,0
0.0349166,0,1,0
0.0349167,0,0,0
0.03491676,0,1,0
0.03491686,0,0,0
0.034917,0,1,0
0.03491718,0,0,0
0.03491732,0,1,0
0.0349175,0,0,0
0.0349176,0,1,0
0.0349177,0,0,0
0.03491784,0,1,0
0.03491802,0,0,0
0.03491818,0,1,0
0.03491834,0,0,0
0.03491844,0,1,0
0.03491854,0,0,0
0.0349186,0,1,0
0.03491872,0,0,0
0.03491878,0,1,0
0.0349189,0,0,0
0.03491896,0,1,0
0.03491906,0,0,0
0.0349192,0,1,0
0.03491936,0,0,0
0.03491946,0,1,0
0.03491958,0,0,0
0.0349197,0,1,0
0.03491988,0,0,0
0.03492052,1,0,0
0.04093812,1,1,0
0.0409383,1,0,0
0.04093846,1,1,0
0.04093862,1,0,0
0.04093878,1,1,0
0.04093888,1,0,0
0.04093896,1,1,0
0.0409391,1,0,0
0.0409392,1,1,0
0.0409393,1,0,0
0.04093944,1,1,0
0.04093954,1,0,0
0.04093962,1,1,0
0.04093978,1,0,0
0.04093992,1,1,0
0.04094004,1,0,0
0.04094012,1,1,0
0.04094016,0,1,0
0.04094026,0,0,0
0.04094042,0,1,0
0.04094054,0,0,0
0.0409406,0,1,0
0.0409407,0,0,0
0.04094076,0,1,0
0.04094086,0,0,0
0.04094094,0,1,0
0.04094108,0,0,0
0.04094124,0,1,0
0.04094142,0,0,0
0.04094156,0,1,0
0.04094174,0,0,0
0.04094184,0,1,0
0.04094194,0,0,0
0.04094208,0,1,0
0.04094218,0,0,0
0.04094226,0,1,0
0.04094242,0,0,0
0.04094258,0,1,0
0.04094274,0,0,0
0.0409429,0,1,0
0.04094308,0,0,0
