; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:54:36 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.01711322,1,1,0
0.01711338,1,0,0
0.01711354,1,1,0
0.01711364,1,0,0
0.0171142,1,1,0
0.01711438,1,0,0
0.01711452,1,1,0
0.01711482,1,0,0
0.01711492,1,1,0
0.01711502,1,0,0
0.0171153,1,1,0
0.0171154,1,0,0
0.01711552,1,1,0
0.01711586,1,0,0
0.01711604,1,1,0
0.0171162,1,0,0
0.0171163,1,1,0
0.0171164,1,0,0
0.01711654,1,1,0
0.0171167,1,0,0
0.0171168,1,1,0
0.0171169,1,0,0
0.01711702,1,1,0
0.01711722,1,0,0
0.01711736,1,1,0
0.01711766,1,0,0
0.01711774,1,1,0
0.01711782,1,0,0
0.01711786,1,1,0
0.01711798,1,0,0
0.01711806,1,1,0
0.0171182,1,0,0
0.01711854,1,1,0
0.01711872,1,0,0
0.01711884,1,1,0
0.01711904,1,0,0
0.01711912,1,1,0
0.01711922,1,0,0
0.01711936,1,1,0
0.01711948,1,0,0
0.01711956,1,1,0
0.0171197,1,0,0
0.0171198,1,1,0
0.01711988,1,0,0
0.01712002,1,1,0
0.0171202,1,0,0
0.01712034,1,1,0
0.01712054,1,0,0
0.01712062,1,1,0
0.01712072,1,0,0
0.01712078,1,1,0
0.01712088,1,0,0
0.01712102,1,1,0
0.0171212,1,0,0
0.01712136,1,1,0
0.01712154,1,0,0
0.01712168,1,1,0
0.01712198,1,0,0
0.01712204,1,1,0
0.01712214,1,0,0
0.0171222,1,1,0
0.01712236,1,0,0
0.01712248,1,1,0
0.01712254,1,0,0
0.01712262,1,1,0
0.01712272,1,0,0
0.01712286,1,1,0
0.01712298,1,0,0
0.01712306,1,1,0
0.0171232,1,0,0
0.01712336,1,1,0
0.0171235,1,0,0
0.01712356,1,1,0
0.0171237,1,0,0
0.0171238,1,1,0
0.0171239,1,0,0
0.01712404,1,1,0
0.0171242,1,0,0
0.0171243,1,1,0
0.0171244,1,0,0
0.01712446,1,1,0
0.01712456,1,0,0
0.01712464,1,1,0
0.01712474,1,0,0
0.01712486,1,1,0
0.01712504,1,0,0
0.01712514,1,1,0
0.01712522,1,0,0
0.01712536,1,1,0
0.0171255,1,0,0
0.01712556,1,1,0
0.0171257,1,0,0
0.0171258,1,1,0
0.01712588,1,0,0
0.01712596,1,1,0
0.01712606,1,0,0
0.01712614,1,1,0
0.01712622,1,0,0
0.01712636,1,1,0
0.01712646,1,0,0
0.01712654,1,1,0
0.0171267,1,0,0
0.0171268,1,1,0
0.01712688,1,0,0
0.01712702,1,1,0
0.01712714,1,0,0
0.0171272,1,1,0
0.0171273,1,0,0
0.01712738,1,1,0
0.01712746,1,0,0
0.01712754,1,1,0
0.0171277,1,0,0
0.01712786,1,1,0
0.01712804,1,0,0
0.01712812,1,1,0
0.01712822,1,0,0
0.01712828,1,1,0
0.0171284,1,0,0
0.01712846,1,1,0
0.01712856,1,0,0
0.01712862,1,1,0
0.01712872,1,0,0
0.0171288,1,1,0
0.01712888,1,0,0
0.01712896,1,1,0
0.01712904,1,0,0
0.01712912,1,1,0
0.0171292,0,1,0
0.01712922,0,0,0
0.01712934,0,1,0
0.01712952,0,0,0
0.01712968,0,1,0
0.01712986,0,0,0
0.01713,0,1,0
0.01713018,0,0,0
0.01713028,0,1,0
0.01713038,0,0,0
0.01713044,0,1,0
0.01713054,0,0,0
0.01713062,0,1,0
0.01713072,0,0,0
0.01713078,0,1,0
0.01713088,0,0,0
0.01713102,0,1,0
0.01713118,0,0,0
0.01713128,0,1,0
0.01713138,0,0,0
0.0171315,0,1,0
0.01713168,0,0,0
0.01713176,0,1,0
0.01713186,0,0,0
0.017132,0,1,0
0.01713218,0,0,0
0.01713226,0,1,0
0.01713236,0,0,0
0.01713242,0,1,0
0.01713252,0,0,0
0.01713266,0,1,0
0.01713276,0,0,0
0.01713284,0,1,0
0.017133,0,0,0
0.0171331,0,1,0
0.01713318,0,0,0
0.01713326,0,1,0
0.01713334,0,0,0
0.01713344,0,1,0
0.01713352,0,0,0
0.01713366,0,1,0
0.01713384,0,0,0
0.017134,0,1,0
0.01713418,0,0,0
0.01713434,0,1,0
0.0171345,0,0,0
0.01713468,0,1,0
0.01713476,0,0,0
0.01713484,0,1,0
0.01713494,0,0,0
0.01713502,0,1,0
0.01713518,0,0,0
0.01713534,0,1,0
0.01713544,0,0,0
0.01713552,0,1,0
0.01713568,0,0,0
0.01713576,0,1,0
0.01713584,0,0,0
0.017136,0,1,0
0.0171361,0,0,0
0.01713618,0,1,0
0.01713626,0,0,0
0.01713634,0,1,0
0.0171365,0,0,0
0.01713668,0,1,0
0.01713684,0,0,0
0.01713694,0,1,0
0.01713702,0,0,0
0.0171371,0,1,0
0.01713718,0,0,0
0.01713734,0,1,0
0.0171375,0,0,0
0.01713768,0,1,0
0.01713784,0,0,0
0.01713794,0,1,0
0.01713802,0,0,0
0.0171381,0,1,0
0.01713818,0,0,0
0.01713826,0,1,0
0.01713834,0,0,0
0.0171385,0,1,0
0.0171386,0,0,0
0.01713868,0,1,0
0.01713884,0,0,0
0.01713894,0,1,0
0.01713902,0,0,0
0.01713916,0,1,0
0.01713934,0,0,0
0.0171395,0,1,0
0.01713968,0,0,0
0.01713984,0,1,0
0.01713994,0,0,0
0.01714002,0,1,0
0.01714016,0,0,0
0.01714026,0,1,0
0.01714034,0,0,0
0.0171405,0,1,0
0.0171406,0,0,0
0.01714068,0,1,0
0.01714082,0,0,0
0.01714094,0,1,0
0.01714102,0,0,0
0.0171411,0,1,0
0.0171412,0,0,0
0.01714132,0,1,0
0.01714144,0,0,0
0.01714152,0,1,0
0.01714162,0,0,0
